Date,Draw,Winning_Numbers
2025-01-30,NIGHT,'892
2025-01-30,EVENING,'064
2025-01-30,MIDDAY,'278
2025-01-29,NIGHT,'940
2025-01-29,EVENING,'092
2025-01-29,MIDDAY,'698
2025-01-28,NIGHT,'670
2025-01-28,EVENING,'067
2025-01-28,MIDDAY,'778
2025-01-27,NIGHT,'692
2025-01-27,EVENING,'793
2025-01-27,MIDDAY,'114
2025-01-26,NIGHT,'372
2025-01-26,EVENING,'225
2025-01-26,MIDDAY,'983
2025-01-25,NIGHT,'326
2025-01-25,EVENING,'575
2025-01-25,MIDDAY,'694
2025-01-24,NIGHT,'103
2025-01-24,EVENING,'428
2025-01-24,MIDDAY,'281
2025-01-23,NIGHT,'958
2025-01-23,EVENING,'637
2025-01-23,MIDDAY,'320
2025-01-22,NIGHT,'864
2025-01-22,EVENING,'602
2025-01-22,MIDDAY,'005
2025-01-21,NIGHT,'277
2025-01-21,EVENING,'143
2025-01-21,MIDDAY,'679
2025-01-20,NIGHT,'418
2025-01-20,EVENING,'663
2025-01-20,MIDDAY,'721
2025-01-19,NIGHT,'550
2025-01-19,EVENING,'370
2025-01-19,MIDDAY,'887
2025-01-18,NIGHT,'445
2025-01-18,EVENING,'022
2025-01-18,MIDDAY,'397
2025-01-17,NIGHT,'531
2025-01-17,EVENING,'648
2025-01-17,MIDDAY,'258
2025-01-16,NIGHT,'364
2025-01-16,EVENING,'963
2025-01-16,MIDDAY,'492
2025-01-15,NIGHT,'612
2025-01-15,EVENING,'319
2025-01-15,MIDDAY,'978
2025-01-14,NIGHT,'164
2025-01-14,EVENING,'576
2025-01-14,MIDDAY,'769
2025-01-13,NIGHT,'260
2025-01-13,EVENING,'986
2025-01-13,MIDDAY,'111
2025-01-12,NIGHT,'559
2025-01-12,EVENING,'454
2025-01-12,MIDDAY,'106
2025-01-11,NIGHT,'191
2025-01-11,EVENING,'462
2025-01-11,MIDDAY,'755
2025-01-10,NIGHT,'179
2025-01-10,EVENING,'672
2025-01-10,MIDDAY,'825
2025-01-09,NIGHT,'746
2025-01-09,EVENING,'636
2025-01-09,MIDDAY,'071
2025-01-08,NIGHT,'002
2025-01-08,EVENING,'293
2025-01-08,MIDDAY,'925
2025-01-07,NIGHT,'135
2025-01-07,EVENING,'907
2025-01-07,MIDDAY,'198
2025-01-06,NIGHT,'198
2025-01-06,EVENING,'593
2025-01-06,MIDDAY,'569
2025-01-05,NIGHT,'716
2025-01-05,EVENING,'631
2025-01-05,MIDDAY,'668
2025-01-04,NIGHT,'430
2025-01-04,EVENING,'658
2025-01-04,MIDDAY,'369
2025-01-03,NIGHT,'201
2025-01-03,EVENING,'503
2025-01-03,MIDDAY,'047
2025-01-02,NIGHT,'677
2025-01-02,EVENING,'681
2025-01-02,MIDDAY,'692
2025-01-01,NIGHT,'425
2025-01-01,EVENING,'288
2025-01-01,MIDDAY,'843
2025-02-27,NIGHT,'273
2025-02-27,EVENING,'746
2025-02-27,MIDDAY,'319
2025-02-26,NIGHT,'223
2025-02-26,EVENING,'612
2025-02-26,MIDDAY,'698
2025-02-25,NIGHT,'942
2025-02-25,EVENING,'290
2025-02-25,MIDDAY,'261
2025-02-24,NIGHT,'242
2025-02-24,EVENING,'935
2025-02-24,MIDDAY,'906
2025-02-23,NIGHT,'618
2025-02-23,EVENING,'067
2025-02-23,MIDDAY,'118
2025-02-22,NIGHT,'396
2025-02-22,EVENING,'435
2025-02-22,MIDDAY,'395
2025-02-21,NIGHT,'886
2025-02-21,EVENING,'641
2025-02-21,MIDDAY,'438
2025-02-20,NIGHT,'990
2025-02-20,EVENING,'891
2025-02-20,MIDDAY,'573
2025-02-19,NIGHT,'955
2025-02-19,EVENING,'619
2025-02-19,MIDDAY,'625
2025-02-18,NIGHT,'631
2025-02-18,EVENING,'974
2025-02-18,MIDDAY,'004
2025-02-17,NIGHT,'678
2025-02-17,EVENING,'469
2025-02-17,MIDDAY,'395
2025-02-16,NIGHT,'959
2025-02-16,EVENING,'828
2025-02-16,MIDDAY,'047
2025-02-15,NIGHT,'189
2025-02-15,EVENING,'293
2025-02-15,MIDDAY,'717
2025-02-14,NIGHT,'487
2025-02-14,EVENING,'140
2025-02-14,MIDDAY,'863
2025-02-13,NIGHT,'489
2025-02-13,EVENING,'634
2025-02-13,MIDDAY,'136
2025-02-12,NIGHT,'357
2025-02-12,EVENING,'279
2025-02-12,MIDDAY,'624
2025-02-11,NIGHT,'653
2025-02-11,EVENING,'562
2025-02-11,MIDDAY,'964
2025-02-10,NIGHT,'136
2025-02-10,EVENING,'332
2025-02-10,MIDDAY,'322
2025-02-09,NIGHT,'621
2025-02-09,EVENING,'212
2025-02-09,MIDDAY,'508
2025-02-08,NIGHT,'428
2025-02-08,EVENING,'811
2025-02-08,MIDDAY,'314
2025-02-07,NIGHT,'957
2025-02-07,EVENING,'452
2025-02-07,MIDDAY,'742
2025-02-06,NIGHT,'284
2025-02-06,EVENING,'027
2025-02-06,MIDDAY,'533
2025-02-05,NIGHT,'733
2025-02-05,EVENING,'825
2025-02-05,MIDDAY,'896
2025-02-04,NIGHT,'216
2025-02-04,EVENING,'555
2025-02-04,MIDDAY,'254
2025-02-03,NIGHT,'375
2025-02-03,EVENING,'723
2025-02-03,MIDDAY,'551
2025-02-02,NIGHT,'068
2025-02-02,EVENING,'337
2025-02-02,MIDDAY,'950
2025-02-01,NIGHT,'125
2025-02-01,EVENING,'453
2025-02-01,MIDDAY,'049
2025-03-30,NIGHT,'489
2025-03-30,EVENING,'802
2025-03-30,MIDDAY,'691
2025-03-29,NIGHT,'294
2025-03-29,EVENING,'315
2025-03-29,MIDDAY,'530
2025-03-28,NIGHT,'431
2025-03-28,EVENING,'813
2025-03-28,MIDDAY,'938
2025-03-27,NIGHT,'046
2025-03-27,EVENING,'745
2025-03-27,MIDDAY,'157
2025-03-26,NIGHT,'073
2025-03-26,EVENING,'637
2025-03-26,MIDDAY,'796
2025-03-25,NIGHT,'459
2025-03-25,EVENING,'059
2025-03-25,MIDDAY,'007
2025-03-24,NIGHT,'895
2025-03-24,EVENING,'968
2025-03-24,MIDDAY,'238
2025-03-23,NIGHT,'335
2025-03-23,EVENING,'788
2025-03-23,MIDDAY,'508
2025-03-22,NIGHT,'744
2025-03-22,EVENING,'006
2025-03-22,MIDDAY,'878
2025-03-21,NIGHT,'678
2025-03-21,EVENING,'830
2025-03-21,MIDDAY,'972
2025-03-20,NIGHT,'820
2025-03-20,EVENING,'738
