Date,Draw,Winning_Numbers
05/31/2025,NIGHT,163
05/31/2025,EVENING,550
05/31/2025,MIDDAY,135
05/30/2025,NIGHT,667
05/30/2025,EVENING,329
05/30/2025,MIDDAY,368
05/29/2025,NIGHT,991
05/29/2025,EVENING,640
05/29/2025,MIDDAY,850
05/28/2025,NIGHT,180
05/28/2025,EVENING,811
05/28/2025,MIDDAY,347
05/27/2025,NIGHT,160
05/27/2025,EVENING,007
05/27/2025,MIDDAY,240
05/26/2025,NIGHT,957
05/26/2025,EVENING,798
05/26/2025,MIDDAY,903
05/25/2025,NIGHT,371
05/25/2025,EVENING,248
05/25/2025,MIDDAY,973
05/24/2025,NIGHT,256
05/24/2025,EVENING,861
05/24/2025,MIDDAY,495
05/23/2025,NIGHT,562
05/23/2025,EVENING,020
05/23/2025,MIDDAY,655
05/22/2025,NIGHT,959
05/22/2025,EVENING,599
05/22/2025,MIDDAY,201
05/21/2025,NIGHT,172
05/21/2025,EVENING,261
05/21/2025,MIDDAY,714
05/20/2025,NIGHT,708
05/20/2025,EVENING,715
05/20/2025,MIDDAY,604
05/19/2025,NIGHT,773
05/19/2025,EVENING,380
05/19/2025,MIDDAY,611
05/18/2025,NIGHT,276
05/18/2025,EVENING,277
05/18/2025,MIDDAY,221
05/17/2025,NIGHT,700
05/17/2025,EVENING,243
05/17/2025,MIDDAY,439
05/16/2025,NIGHT,724
05/16/2025,EVENING,178
05/16/2025,MIDDAY,557
05/15/2025,NIGHT,647
05/15/2025,EVENING,860
05/15/2025,MIDDAY,316
05/14/2025,NIGHT,897
05/14/2025,EVENING,987
05/14/2025,MIDDAY,330
05/13/2025,NIGHT,745
05/13/2025,EVENING,764
05/13/2025,MIDDAY,548
05/12/2025,NIGHT,125
05/12/2025,EVENING,742
05/12/2025,MIDDAY,734
05/11/2025,NIGHT,616
05/11/2025,EVENING,621
05/11/2025,MIDDAY,395
05/10/2025,NIGHT,337
05/10/2025,EVENING,130
05/10/2025,MIDDAY,924
05/09/2025,NIGHT,792
05/09/2025,EVENING,635
05/09/2025,MIDDAY,656
05/08/2025,NIGHT,604
05/08/2025,EVENING,406
05/08/2025,MIDDAY,017
05/07/2025,NIGHT,314
05/07/2025,EVENING,015
05/07/2025,MIDDAY,779
05/06/2025,NIGHT,657
05/06/2025,EVENING,281
05/06/2025,MIDDAY,348
05/05/2025,NIGHT,788
05/05/2025,EVENING,291
05/05/2025,MIDDAY,862
05/04/2025,NIGHT,097
05/04/2025,EVENING,213
05/04/2025,MIDDAY,724
05/03/2025,NIGHT,565
05/03/2025,EVENING,738
05/03/2025,MIDDAY,407
05/02/2025,NIGHT,044
05/02/2025,EVENING,741
05/02/2025,MIDDAY,250
05/01/2025,NIGHT,261
05/01/2025,EVENING,631
05/01/2025,MIDDAY,040
